empresa_id,poste_id,nom_comuna,nom_region,tipo_tension,codigo_placa,propiedad,cudn,altura_poste,material,disp_postacion,cant_redes_mt,cant_redes_bt,datum,zona,x,y,lat,long
18,2050897,Padre Las Casas,La Araucanía,MT,255450,Inst. de distribució,PA100H2,10.000,Hormigón,remate,1,0,PSAD56,19,187540.864,5698494.483,-38.80955380,-72.60051270
18,1716222254,Padre Las Casas,La Araucanía,MT,014802,Inst. de distribució,PA135H1,13.500,Hormigón,,2,0,PSAD56,19,186688.936,5702858.836,-38.77000080,-72.60832330
18,9504109,Padre Las Casas,La Araucanía,MT,982485,Inst. de distribució,PA115H2,11.500,Hormigón,paso,1,1,PSAD56,19,186400.821,5699721.707,-38.79811190,-72.61305850
18,2195637,Padre Las Casas,La Araucanía,MT,573091,Inst. de distribució,PA115H2,11.500,Hormigón,remate,1,3,PSAD56,19,187764.044,5703419.298,-38.76534140,-72.59571910
18,664730,Padre Las Casas,La Araucanía,BT,30537,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,187398.690,5703269.030,-38.76656350,-72.59998400
18,8187603,Padre Las Casas,La Araucanía,BT,781564,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,187179.919,5703415.961,-38.76516450,-72.60243060
18,734293,Padre Las Casas,La Araucanía,BT,15501,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,187451.172,5703618.525,-38.76343880,-72.59922300
18,9368999,Padre Las Casas,La Araucanía,MT,965240,Inst. de distribució,PA115H2,11.500,Hormigón,remate,1,2,PSAD56,19,187716.867,5703974.341,-38.76033280,-72.59601020
18,669177,Padre Las Casas,La Araucanía,BT,30462,Inst. de distribució,PA090H2,9.000,Hormigón,paso,0,1,PSAD56,19,187400.253,5703591.433,-38.76366450,-72.59982020
18,691369,Padre Las Casas,La Araucanía,BT,15596,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,2,PSAD56,19,187541.554,5703272.031,-38.76658710,-72.59834150
18,754456,Padre Las Casas,La Araucanía,BT,262647,Inst. de distribució,PB100E1,10.000,Especial,remate,0,1,PSAD56,19,186908.289,5703782.716,-38.76176980,-72.60538470
18,1988784,Padre Las Casas,La Araucanía,MT,494762,Inst. de distribució,PA115H2,11.500,Hormigón,paso,1,1,PSAD56,19,186986.568,5703726.121,-38.76230650,-72.60451120
18,700070,Padre Las Casas,La Araucanía,BT,15281,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,187303.315,5703937.620,-38.76051670,-72.60077710
18,8247320,Padre Las Casas,La Araucanía,BT,814079,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,188193.110,5702038.050,-38.77791550,-72.59141380
18,720925,Padre Las Casas,La Araucanía,BT,30369,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,187717.492,5703421.599,-38.76530420,-72.59625280
18,770522,Padre Las Casas,La Araucanía,BT,458775,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,188578.500,5701383.886,-38.78393500,-72.58728100
18,7883546,Padre Las Casas,La Araucanía,BT,759182,Inst. de distribució,PA090H2,9.000,Hormigón,remate,0,1,PSAD56,19,188338.676,5702674.354,-38.77224430,-72.58945420
18,38312,Padre Las Casas,La Araucanía,BT,14777,Inst. de distribució,PA115H2,11.500,Hormigón,derivación,1,1,PSAD56,19,187083.646,5703634.644,-38.76316360,-72.60343750
