nombre,tabla,fecha
Compañía General de Electricidad S.A.,RESUMEN,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,SSEE_PODER,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,TRF_PODER,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,BARRA_MT,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,ALIMENTADOR,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,TRAMO,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,CATALOGO_COND,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,NODO,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,POSTE,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,CAMARA,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,ESTRUCTURA,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,EQUIPO_TRF,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,BBCC_DX,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,EQUIPO,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,TRANSFORMADOR_DX,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,AJUSTE_PROT,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,TOMA_TIERRA,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,TIRANTE,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,CANALIZACION,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,BOVEDAS_OCC,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,MEDIDAS,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,MEDIDOR,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,DESGLOSE_CUDN,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,ELEM_VNR,27/05/2023 08:05::43
Compañía General de Electricidad S.A.,RECARGO_TARIF,27/05/2023 08:05::43
