empresa_id,elemento_id,fecha_utc,fecha_local,p,q,s,i,v
18,665,2023-02-06 00:15:00,2023-02-05 21:15:00,2380.346,625.187,2461.078,93.000,15340.000
18,665,2022-11-01 18:15:00,2022-11-01 15:15:00,1964.658,551.192,2040.513,78.000,15238.000
18,665,2022-08-27 05:45:00,2022-08-27 01:45:00,1696.490,348.733,1731.962,65.000,15414.000
18,665,2022-10-14 19:15:00,2022-10-14 16:15:00,2130.705,596.256,2212.560,84.000,15333.000
18,665,2023-02-04 23:30:00,2023-02-04 20:30:00,2110.295,805.862,2258.929,85.000,15447.000
18,665,2022-11-19 21:30:00,2022-11-19 18:30:00,1955.568,600.886,2045.803,76.000,15505.000
18,665,2023-02-21 00:15:00,2023-02-20 21:15:00,2583.125,542.836,2639.547,100.000,15226.000
18,665,2022-12-13 21:00:00,2022-12-13 18:00:00,2077.766,665.208,2181.654,82.000,15406.000
18,665,2022-10-12 19:30:00,2022-10-12 16:30:00,2496.267,559.616,2558.226,96.000,15428.000
18,665,2023-03-22 11:00:00,2023-03-22 08:00:00,1743.938,444.127,1799.602,69.000,15189.000
18,665,2023-03-01 16:00:00,2023-03-01 13:00:00,2081.703,649.486,2180.670,81.000,15519.000
18,665,2022-12-10 18:15:00,2022-12-10 15:15:00,2003.127,601.536,2091.498,79.000,15258.000
18,665,2022-11-18 03:45:00,2022-11-18 00:45:00,1678.334,483.318,1746.540,65.000,15491.000
18,665,2022-10-09 09:15:00,2022-10-09 06:15:00,1246.032,263.025,1273.490,48.000,15329.000
18,665,2022-05-06 03:15:00,2022-05-05 23:15:00,2585.999,422.124,2620.225,99.000,15298.000
18,665,2022-10-31 02:30:00,2022-10-30 23:30:00,2410.624,390.710,2442.081,92.000,15385.000
18,665,2022-04-23 02:15:00,2022-04-22 22:15:00,2881.220,522.028,2928.130,112.000,15197.000
18,665,2023-01-28 22:45:00,2023-01-28 19:45:00,1980.332,734.617,2112.197,80.000,15357.000
18,665,2023-01-16 05:00:00,2023-01-16 02:00:00,1340.208,430.789,1407.742,53.000,15417.000
18,665,2022-06-25 01:15:00,2022-06-24 21:15:00,3583.405,479.301,3615.318,138.000,15199.000
18,665,2022-09-21 10:00:00,2022-09-21 07:00:00,1931.686,297.551,1954.468,74.000,15256.000
18,665,2022-05-13 18:15:00,2022-05-13 14:15:00,2855.866,655.774,2930.189,110.000,15414.000
18,665,2022-09-08 18:30:00,2022-09-08 14:30:00,2674.171,532.107,2726.596,103.000,15356.000
18,665,2022-09-02 00:45:00,2022-09-01 20:45:00,3498.755,506.906,3535.285,135.000,15157.000
18,665,2022-06-15 23:15:00,2022-06-15 19:15:00,3691.601,563.602,3734.376,142.000,15257.000
18,665,2022-07-13 00:00:00,2022-07-12 20:00:00,3865.888,530.513,3902.119,148.000,15284.000
18,665,2022-06-08 14:30:00,2022-06-08 10:30:00,3217.305,713.649,3295.504,125.000,15308.000
18,665,2022-10-19 10:15:00,2022-10-19 07:15:00,1666.977,362.949,1706.032,65.000,15153.000
18,665,2022-08-27 16:30:00,2022-08-27 12:30:00,2718.569,500.769,2764.306,105.000,15257.000
18,665,2022-11-14 10:00:00,2022-11-14 07:00:00,1623.737,393.444,1670.724,64.000,15223.000
18,665,2022-05-02 21:45:00,2022-05-02 17:45:00,2687.203,545.236,2741.959,103.000,15436.000
18,665,2023-02-27 13:30:00,2023-02-27 10:30:00,1768.040,411.700,1815.341,71.000,14755.000
18,665,2023-03-27 13:00:00,2023-03-27 10:00:00,1975.519,504.646,2038.956,77.000,15289.000
18,665,2022-12-26 08:15:00,2022-12-26 05:15:00,1234.167,574.109,1361.165,51.000,15452.000
18,665,2022-09-09 20:30:00,2022-09-09 16:30:00,2452.063,559.691,2515.127,94.000,15486.000
18,665,2022-07-17 00:00:00,2022-07-16 20:00:00,3352.674,468.684,3385.275,129.000,15253.000
18,665,2022-12-12 21:30:00,2022-12-12 18:30:00,2054.068,611.136,2143.055,81.000,15389.000
18,665,2022-09-19 00:00:00,2022-09-18 21:00:00,2667.729,412.799,2699.477,103.000,15211.000
18,665,2023-01-13 03:30:00,2023-01-13 00:30:00,1683.604,468.844,1747.667,66.000,15432.000
18,665,2022-11-27 02:30:00,2022-11-26 23:30:00,2085.841,496.663,2144.156,81.000,15384.000
18,665,2022-06-10 02:00:00,2022-06-09 22:00:00,3577.445,516.231,3614.499,136.000,15377.000
18,665,2022-12-30 02:30:00,2022-12-29 23:30:00,2171.478,459.723,2219.609,85.000,15184.000
18,665,2022-07-15 14:30:00,2022-07-15 10:30:00,2747.279,520.555,2796.162,106.000,15326.000
18,665,2023-01-03 07:45:00,2023-01-03 04:45:00,1110.360,410.646,1183.862,45.000,15429.000
18,665,2022-05-07 21:15:00,2022-05-07 17:15:00,2398.195,533.733,2456.870,93.000,15318.000
18,665,2022-08-05 06:00:00,2022-08-05 02:00:00,1568.418,343.138,1605.515,61.000,15324.000
18,665,2022-05-30 10:00:00,2022-05-30 06:00:00,1764.212,194.741,1774.928,69.000,15164.000
18,665,2022-04-18 22:45:00,2022-04-18 18:45:00,3023.251,567.383,3076.032,117.000,15239.000
18,665,2022-08-24 00:00:00,2022-08-23 20:00:00,3840.481,564.072,3881.684,146.000,15421.000
18,665,2023-04-01 05:15:00,2023-04-01 02:15:00,1372.143,409.519,1431.951,54.000,15433.000
18,665,2022-04-09 23:45:00,2022-04-09 19:45:00,2986.292,551.336,3036.760,115.000,15271.000
18,665,2022-06-23 13:45:00,2022-06-23 09:45:00,2521.323,485.520,2567.645,98.000,15224.000
18,665,2022-10-31 10:15:00,2022-10-31 07:15:00,1143.702,319.611,1187.521,45.000,15455.000
18,665,2022-05-10 11:45:00,2022-05-10 07:45:00,2092.838,431.121,2136.782,80.000,15477.000
