empresa_id,nodo_id,tipo_soporte,poste_camara_id,rotulo_poste_camara,alimentador_id,nom_comuna,nom_region,densidad_red,tension,datum,zona,y,x,lat,long
18,24839300,poste,776811,166845,675,Temuco,La Araucanía,,0.380,PSAD56,19,5705140.696,186385.660,-72.61077180,-38.74937130
18,24870017,poste,786002,267270,675,Padre Las Casas,La Araucanía,,0.380,PSAD56,19,5704173.668,187577.868,-72.59751670,-38.75849100
18,24876746,camara,2037608,493418,675,Padre Las Casas,La Araucanía,,0.380,PSAD56,19,5704181.789,187583.097,-72.59745300,-38.75841980
18,24888533,poste,1716488642,1067662,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5695722.011,192965.836,-72.53938870,-38.83639690
18,24888858,poste,1716488239,1101689,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5695723.824,193002.674,-72.53896420,-38.83639350
18,24898570,camara,2038490,493420,675,Padre Las Casas,La Araucanía,,0.380,PSAD56,19,5704192.559,187654.232,-72.59663100,-38.75834810
18,24900445,camara,2038490,493420,675,Padre Las Casas,La Araucanía,,0.380,PSAD56,19,5704192.559,187654.232,-72.59663100,-38.75834810
18,24903218,poste,1716488273,1101693,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5695729.858,192918.823,-72.53992580,-38.83631000
18,24909631,camara,2037609,493417,675,Padre Las Casas,La Araucanía,,0.380,PSAD56,19,5704218.902,187638.031,-72.59680520,-38.75810550
18,24911215,poste,677751,267478,675,Temuco,La Araucanía,,0.380,PSAD56,19,5705188.966,186382.952,-72.61078100,-38.74893620
18,25252875,camara,2038493,493422,675,Padre Las Casas,La Araucanía,,0.380,PSAD56,19,5704251.122,187739.527,-72.59562480,-38.75785160
18,25289990,camara,2037610,493416,675,Padre Las Casas,La Araucanía,,0.380,PSAD56,19,5704256.745,187691.252,-72.59617680,-38.75778400
18,25307283,camara,2038493,493422,675,Padre Las Casas,La Araucanía,,0.380,PSAD56,19,5704251.122,187739.527,-72.59562480,-38.75785160
18,25309074,poste,661358,205423,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5702038.561,188787.542,-72.58458390,-38.77812090
18,25312441,poste,1716826337,14988,675,Padre Las Casas,La Araucanía,,0.380,PSAD56,19,5704245.720,187751.728,-72.59548710,-38.75790450
18,25325094,poste,661358,205423,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5702038.561,188787.542,-72.58458390,-38.77812090
18,25327486,poste,661358,205423,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5702038.561,188787.542,-72.58458390,-38.77812090
18,25339683,poste,1716207440,S/P,675,Temuco,La Araucanía,,15.000,PSAD56,19,5704900.284,186801.105,-72.60610950,-38.75168090
18,25341069,poste,765677,205422,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5702022.827,188822.180,-72.58419300,-38.77827460
18,25392012,poste,1716381348,986138,675,Padre Las Casas,La Araucanía,,0.380,PSAD56,19,5702840.795,189465.271,-72.57643630,-38.77114460
18,25449181,poste,1716381339,984623,675,Padre Las Casas,La Araucanía,,15.000,PSAD56,19,5702849.960,189592.700,-72.57496820,-38.77110700
18,25451304,poste,1716194647,PP4297,675,Padre Las Casas,La Araucanía,,15.000,PSAD56,19,5703467.994,188511.187,-72.58711440,-38.76516750
18,25456845,poste,1716381339,984623,675,Padre Las Casas,La Araucanía,,0.380,PSAD56,19,5702849.960,189592.700,-72.57496820,-38.77110700
18,25572058,poste,677751,267478,675,Temuco,La Araucanía,,0.380,PSAD56,19,5705188.966,186382.952,-72.61078100,-38.74893620
18,25573452,poste,1716175101,1020069,675,Padre Las Casas,La Araucanía,,0.380,PSAD56,19,5705599.378,189838.613,-72.57090900,-38.74646570
18,25586945,poste,1716175101,1020069,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5705599.378,189838.613,-72.57090900,-38.74646570
18,25744817,camara,2038775,493429,675,Padre Las Casas,La Araucanía,,0.380,PSAD56,19,5704481.279,188001.480,-72.59251210,-38.75587430
18,25772921,camara,2038775,493429,675,Padre Las Casas,La Araucanía,,0.380,PSAD56,19,5704481.279,188001.480,-72.59251210,-38.75587430
18,25775490,camara,2069088,500420,675,Padre Las Casas,La Araucanía,,0.380,PSAD56,19,5704147.253,187252.339,-72.60126770,-38.75861330
18,25777101,poste,8185546,689470,675,Temuco,La Araucanía,,0.380,PSAD56,19,5705727.848,187732.030,-72.59504390,-38.74456780
18,25783497,poste,8185546,689470,675,Temuco,La Araucanía,,0.380,PSAD56,19,5705727.848,187732.030,-72.59504390,-38.74456780
18,25806326,camara,2038777,493431,675,Padre Las Casas,La Araucanía,,0.380,PSAD56,19,5704571.018,188076.985,-72.59160440,-38.75509390
18,25819294,camara,2038076,493408,675,Padre Las Casas,La Araucanía,,0.380,PSAD56,19,5704605.847,188061.129,-72.59177080,-38.75477500
18,25841034,camara,2038777,493431,675,Padre Las Casas,La Araucanía,,0.380,PSAD56,19,5704571.018,188076.985,-72.59160440,-38.75509390
18,25908191,poste,1716835497,206639,675,Padre Las Casas,La Araucanía,,15.000,PSAD56,19,5697120.867,188402.760,-72.59122670,-38.82221280
18,25908430,poste,44698,48957,675,Padre Las Casas,La Araucanía,,15.000,PSAD56,19,5706261.831,190428.669,-72.56383590,-38.74071470
18,25910239,poste,1716207440,S/P,675,Temuco,La Araucanía,,15.000,PSAD56,19,5704900.284,186801.105,-72.60610950,-38.75168090
18,26084849,poste,44698,48957,675,Padre Las Casas,La Araucanía,,15.000,PSAD56,19,5706261.831,190428.669,-72.56383590,-38.74071470
18,26179510,poste,680267,15401,675,Padre Las Casas,La Araucanía,,0.380,PSAD56,19,5704284.470,188481.445,-72.58708790,-38.75781380
18,26200472,poste,1716864044,495214,675,Padre Las Casas,La Araucanía,,0.220,PSAD56,19,5698404.039,193490.853,-72.53215770,-38.81245750
18,26209417,poste,2222256,585052,675,Temuco,La Araucanía,,15.000,PSAD56,19,5705847.326,186820.926,-72.60545290,-38.74317070
18,26243921,poste,1716864044,495214,675,Padre Las Casas,La Araucanía,,15.000,PSAD56,19,5698404.039,193490.853,-72.53215770,-38.81245750
18,26309245,poste,781252,166839,675,Temuco,La Araucanía,,0.380,PSAD56,19,5705119.707,186388.262,-72.61075150,-38.74956100
18,26316562,poste,758394,230857,675,Padre Las Casas,La Araucanía,,15.000,PSAD56,19,5699198.163,190273.201,-72.56878920,-38.80418990
18,26329666,poste,24816,230837,675,Padre Las Casas,La Araucanía,,15.000,PSAD56,19,5699165.169,190226.664,-72.56933890,-38.80447020
