empresa_id;conductor_id;tipo_conductor;cudn;detalle;cap_diseno;cap_termica;x_s0;x_s1;r_s0;r_s1;mat_conductor;tipo_proteccion;mat_aislante;separacion_fases;seccion_valor;seccion_unid
18;24489793;;;TTU 3x67/67 (BT);;;;;;;;;;;;
18;24478628;;;CU 25/25 MM2 3C (BT);;;;;;;;;;;;
18;24478636;;;CU 25/25 MM2 2C (BT);;;;;;;;;;;;
18;24478644;;;CU 25 MM2 1C (BT);;;;;;;;;;;;
18;24478652;;;CU 25/16 MM2 4C (BT);;;;;;;;;;;;
18;24478599;;;CU 16/16 MM2 2C (BT);;;;;;;;;;;;
18;24478607;;;CU 16 MM2 1C (BT);;;;;;;;;;;;
18;24478616;;;CU 25/25 MM2 4C (BT);;;;;;;;;;;;
18;24477911;;;Prot 95 mm2 3ø 15 KV (MT);;;;;;;;;;;;
18;24477971;;;Cu 16 mm2  2ø (MT);;;;;;;;;;;;
18;24477990;;;Cu 16 mm2  3ø (MT);;;;;;;;;;;;
18;24478003;;;Cu 25 mm2  2ø (MT);;;;;;;;;;;;
18;24478019;;;Cu 25 mm2  3ø (MT);;;;;;;;;;;;
18;24478034;;;Cu 33,6 mm2  2ø (MT);;;;;;;;;;;;
18;24478043;;;Cu 33,6 mm2  3ø (MT);;;;;;;;;;;;
18;24478050;;;Cu 53,5 mm2  2ø (MT);;;;;;;;;;;;
18;24478055;;;Cu 53,5 mm2  3ø (MT);;;;;;;;;;;;
18;24478062;;;Cu 67,4 mm2  2ø (MT);;;;;;;;;;;;
18;24478072;;;Cu 67,4 mm2  3ø (MT);;;;;;;;;;;;
18;24478081;;;Cu 85 mm2  3ø (MT);;;;;;;;;;;;
18;24478090;;;Al 2 AAAC 2ø (MT);;;;;;;;;;;;
18;24478099;;;Al 2 AAAC 3ø (MT);;;;;;;;;;;;
18;24478108;;;Al 1/0 AAAC 2ø OLD (MT);;;;;;;;;;;;
18;24478114;;;Al 1/0 AAAC 3ø OLD (MT);;;;;;;;;;;;
18;24478123;;;Al 3/0 AAAC 3ø (MT);;;;;;;;;;;;
18;24478133;;;Comp 70 mm2 3ø 15 KV (MT);;;;;;;;;;;;
18;24478142;;;Comp 95 mm2 3ø 15 KV (MT);;;;;;;;;;;;
18;24478150;;;Comp 150 mm2 3ø 15KV (MT);;;;;;;;;;;;
18;24478159;;;Comp 50 mm2 3ø 25 KV (MT);;;;;;;;;;;;
18;24478165;;;Cu Cable #5 AWG 3ø (MT);;;;;;;;;;;;
18;24478173;;;Cu Cable #5 AWG 2ø (MT);;;;;;;;;;;;
18;24478180;;;Cu Alambre 10mm2 3ø (MT);;;;;;;;;;;;
18;24478189;;;Cu Alambre 10mm2 2ø (MT);;;;;;;;;;;;
18;24478194;;;Cu Cable #3 AWG 3ø (MT);;;;;;;;;;;;
18;24478203;;;Cu Cable #3 AWG 2ø (MT);;;;;;;;;;;;
18;24478211;;;Cu Alambre #4 AWG 3ø (MT);;;;;;;;;;;;
18;24478218;;;Cu Alambre #4 AWG 2ø (MT);;;;;;;;;;;;
18;24478225;;;Al ACSR 1/0 AWG 3ø (MT);;;;;;;;;;;;
