empresa_id;td_id;alimentador_id;propiedad;cudn;nom_comuna;nom_region;nodo_at_id;nodo_bt_id;codigo_placa;cap_nom_kva;tipo_cnx;num_fases;fases_id;tension_prim;tension_sec;z;tap_min;tap_max;tap_op_normal;regulacion;dda_min_dia;dda_min_noche;dda_max;coci_mt;datum;zona;x;y;long;lat
18;2160273;677;Inst. de distribución de prop. de la concesionaria;SA1AS5520005;9112;La Araucanía;38750820;38771343;165191;15;Bifásico con neutro;1;;AT, clase 15 kV o menos;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;182651.9584;5701486.727;-72.6553289;-38.7808974
18;5836469;677;Inst. de distribución de prop. de la concesionaria;SA1AS5520005;;;39620520;38633868;;15;Bifásico con neutro;1;;AT, clase 15 kV o menos;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;186549.4277;5703736.532;-72.6095278;-38.7620577
18;438791;677;Inst. de distribución de prop. de la concesionaria;SA2AS5520005;9112;La Araucanía;38340862;39326761;158047;5;Dyn1;2;;AT, clase 15 kV o menos;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;177918.1897;5701603.319;-72.7096589;-38.778133
18;439028;677;Inst. de distribución de prop. de la concesionaria;SA2AS5520005;9112;La Araucanía;39154708;37691490;976360;5;Dyn1;2;;AT, clase 15 kV o menos;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;172180.9067;5696188.797;-72.7781386;-38.8247054
18;439153;677;Inst. de distribución de prop. de la concesionaria;SA2AS5520005;9112;La Araucanía;39080674;38813970;643243;5;Dyn1;2;;AT, clase 15 kV o menos;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;176776.4714;5700193.045;-72.7234352;-38.790397
18;439242;677;Inst. de distribución de prop. de la concesionaria;SA1AS5520005;9112;La Araucanía;40123787;38951909;43382;15;Bifásico con neutro;1;;AT, clase 15 kV o menos;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;171966.6394;5699989.402;-72.7787933;-38.7904518
18;439288;677;Inst. de distribución de prop. de la concesionaria;SA1AS5520005;9112;La Araucanía;40012097;39939472;42210;10;Bifásico con neutro;1;;AT, clase 15 kV o menos;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;172574.3141;5701013.341;-72.7713259;-38.7814707
18;439873;677;Inst. de distribución de prop. de la concesionaria;SA1AS5520005;9112;La Araucanía;38029697;38683689;157575;15;Bifásico con neutro;1;;AT, clase 15 kV o menos;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;181957.0173;5700534.901;-72.6637517;-38.7892067
18;440214;677;Inst. de distribución de prop. de la concesionaria;SA2AS5520005;9112;La Araucanía;37969946;38996996;165765;5;Dyn1;2;;AT, clase 15 kV o menos;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;176120.5616;5698851.632;-72.7316011;-38.8022185
18;440250;677;Inst. de distribución de prop. de la concesionaria;SA1AS5520005;9112;La Araucanía;39358655;39426216;42192;10;Bifásico con neutro;1;;AT, clase 15 kV o menos;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;173546.2095;5701000.967;-72.7601669;-38.7819422
18;440254;677;Inst. de distribución de prop. de la concesionaria;SA1AS5520005;9112;La Araucanía;39825300;39456131;41996;15;Bifásico con neutro;1;;AT, clase 15 kV o menos;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;175643.0503;5700227.06;-72.7364418;-38.7896749
18;440273;677;Inst. de distribución de prop. de la concesionaria;SA1AS5520005;9112;La Araucanía;38190647;38192974;250054;10;Bifásico con neutro;1;;AT, clase 15 kV o menos;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;176914.0987;5700787.367;-72.7215756;-38.7851031
18;440677;677;Inst. de distribución de prop. de la concesionaria;SA2AS5520005;9112;La Araucanía;39312348;39673173;225900;5;Dyn1;2;;AT, clase 15 kV o menos;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;174899.2305;5698739.9;-72.7456886;-38.8027736
18;441611;677;Inst. de distribución de prop. de la concesionaria;SA1AS5520005;9112;La Araucanía;39303189;37802552;157447;15;Bifásico con neutro;1;;AT, clase 15 kV o menos;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;181391.752;5702354.526;-72.6694069;-38.7726391
18;441655;677;Inst. de distribución de prop. de la concesionaria;SA1AS5520005;9112;La Araucanía;37603660;38587169;612340;15;Bifásico con neutro;1;;AT, clase 15 kV o menos;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;176743.8188;5701764.577;-72.7230744;-38.7762534
18;442006;677;Inst. de distribución de prop. de la concesionaria;SA1AS5520005;9112;La Araucanía;38492019;37831907;165756;15;Bifásico con neutro;1;;AT, clase 15 kV o menos;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;175700.5912;5698868.089;-72.7364195;-38.8019161
18;442017;677;Inst. de distribución de prop. de la concesionaria;SA1AS5520005;9112;La Araucanía;37833424;38341003;157676;10;Bifásico con neutro;1;;AT, clase 15 kV o menos;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;180111.5309;5699566.144;-72.6854057;-38.7972508
18;442342;677;Inst. de prop. terceros no concesionarios de distribución;SA1AS5520005;9112;La Araucanía;;;584187;15;Bifásico con neutro;1;;AT, clase 15 kV o menos;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;186187.7978;5703217.862;-72.6139173;-38.7665938
18;442426;677;Inst. de distribución de prop. de la concesionaria;SA1AS5520005;9112;La Araucanía;38930872;38423211;230717;10;Bifásico con neutro;1;;AT, clase 15 kV o menos;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;177629.6831;5701880.409;-72.7128439;-38.7755359
18;442925;677;Inst. de distribución de prop. de la concesionaria;SA2AS5520005;9112;La Araucanía;37835389;37937056;165733;5;Dyn1;2;;AT, clase 15 kV o menos;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;175673.6799;5698355.756;-72.7369697;-38.8065132
18;442951;677;Inst. de distribución de prop. de la concesionaria;SA1AS5520005;9112;La Araucanía;39685767;39617448;255103;10;Bifásico con neutro;1;;AT, clase 15 kV o menos;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;171724.7872;5697099.221;-72.7829477;-38.8163493
18;443006;677;Inst. de distribución de prop. de la concesionaria;SA1AS5520005;9112;La Araucanía;38859600;38588125;158023;15;Bifásico con neutro;1;;AT, clase 15 kV o menos;0.22;;13200;15180;0;0.036;;;;;PSAD56;19;178808.413;5702066.955;-72.6992163;-38.7742884
