empresa_id;elemento_id;fecha_utc;fecha_local;p;q;s;i;v
18;677;01-04-2022 0:00;31-03-2022 21:00;748.258;-214.438;778.379;32;15287
18;677;01-04-2022 0:15;31-03-2022 21:15;747.285;-220.966;779.269;32;15308
18;677;01-04-2022 0:30;31-03-2022 21:30;760.926;-220.737;792.296;32;15340
18;677;01-04-2022 0:45;31-03-2022 21:45;731.484;-229.214;766.556;31;15397
18;677;01-04-2022 1:00;31-03-2022 22:00;721.98;-234.117;758.99;31;15433
18;677;01-04-2022 1:15;31-03-2022 22:15;729.281;-215.544;760.467;31;15315
18;677;01-04-2022 1:30;31-03-2022 22:30;716.197;-222.296;749.902;31;15338
18;677;01-04-2022 1:45;31-03-2022 22:45;702.297;-220.852;736.204;30;15400
18;677;01-04-2022 2:00;31-03-2022 23:00;684.298;-223.507;719.874;29;15428
18;677;01-04-2022 2:15;31-03-2022 23:15;670.197;-218.83;705.018;28;15432
18;677;01-04-2022 2:30;31-03-2022 23:30;620.097;-235.295;663.238;27;15359
18;677;01-04-2022 2:45;31-03-2022 23:45;586.182;-227.321;628.716;25;15392
18;677;01-04-2022 3:00;01-04-2022 0:00;537.358;-230.888;584.862;23;15432
18;677;01-04-2022 3:15;01-04-2022 0:15;520.873;-227.028;568.199;23;15456
18;677;01-04-2022 3:30;01-04-2022 0:30;484.753;-237.406;539.765;22;15348
18;677;01-04-2022 3:45;01-04-2022 0:45;475.826;-234.237;530.355;21;15367
18;677;01-04-2022 4:00;01-04-2022 1:00;459.052;-244.75;520.223;21;15420
18;677;01-04-2022 4:15;01-04-2022 1:15;459.131;-243.436;519.675;21;15429
18;677;01-04-2022 4:30;01-04-2022 1:30;433.929;-246.582;499.096;20;15447
18;677;01-04-2022 4:45;01-04-2022 1:45;442.106;-235.034;500.699;20;15465
18;677;01-04-2022 5:00;01-04-2022 2:00;425.708;-238.834;488.128;19;15474
18;677;01-04-2022 5:15;01-04-2022 2:15;426.811;-236.407;487.91;19;15485
18;677;01-04-2022 5:30;01-04-2022 2:30;425.83;-237.524;487.595;19;15509
18;677;01-04-2022 5:45;01-04-2022 2:45;423.845;-240.99;487.566;19;15364
18;677;01-04-2022 6:00;01-04-2022 3:00;420.385;-240.146;484.142;19;15339
18;677;01-04-2022 6:15;01-04-2022 3:15;410.712;-234.983;473.182;19;15349
18;677;01-04-2022 6:30;01-04-2022 3:30;406.486;-236.967;470.515;18;15361
18;677;01-04-2022 6:45;01-04-2022 3:45;397.851;-237.606;463.403;18;15378
18;677;01-04-2022 7:00;01-04-2022 4:00;403.898;-237.42;468.511;18;15384
18;677;01-04-2022 7:15;01-04-2022 4:15;401.306;-240.984;468.102;18;15376
18;677;01-04-2022 7:30;01-04-2022 4:30;401.12;-238.551;466.694;18;15377
18;677;01-04-2022 7:45;01-04-2022 4:45;385.435;-248.572;458.637;18;15365
18;677;01-04-2022 8:00;01-04-2022 5:00;398.99;-242.313;466.806;18;15358
18;677;01-04-2022 8:15;01-04-2022 5:15;397.425;-253.267;471.265;19;15351
18;677;01-04-2022 8:30;01-04-2022 5:30;404.024;-254.597;477.551;19;15356
18;677;01-04-2022 8:45;01-04-2022 5:45;406.716;-254.57;479.817;19;15342
18;677;01-04-2022 9:00;01-04-2022 6:00;439.485;-256.586;508.904;20;15297
18;677;01-04-2022 9:15;01-04-2022 6:15;487.128;-258.124;551.291;22;15241
18;677;01-04-2022 9:30;01-04-2022 6:30;512.744;-252.262;571.439;23;15187
18;677;01-04-2022 9:45;01-04-2022 6:45;540.542;-248.252;594.823;24;15226
18;677;01-04-2022 10:00;01-04-2022 7:00;591.413;-234.923;636.364;26;15180
18;677;01-04-2022 10:15;01-04-2022 7:15;630.709;-233.186;672.436;27;15212
18;677;01-04-2022 10:30;01-04-2022 7:30;697.976;-243.64;739.278;29;15197
18;677;01-04-2022 10:45;01-04-2022 7:45;732.315;-246.838;772.796;31;15166
18;677;01-04-2022 11:00;01-04-2022 8:00;916.705;-148.566;928.665;36;15174
18;677;01-04-2022 11:15;01-04-2022 8:15;1104.132;-111.94;1109.792;43;15168
18;677;01-04-2022 11:30;01-04-2022 8:30;1211.37;-71.029;1213.451;46;15288
18;677;01-04-2022 11:45;01-04-2022 8:45;1212.516;-74.044;1214.775;47;15221
18;677;01-04-2022 12:00;01-04-2022 9:00;1220.326;-71.369;1222.411;47;15203
18;677;01-04-2022 12:15;01-04-2022 9:15;1187.74;-71.833;1189.91;46;15223
18;677;01-04-2022 12:30;01-04-2022 9:30;1189.971;-78.278;1192.543;46;15185
18;677;01-04-2022 12:45;01-04-2022 9:45;1157.945;-103.048;1162.521;45;15239
18;677;01-04-2022 13:00;01-04-2022 10:00;959.343;-151.682;971.26;38;15263
18;677;01-04-2022 13:15;01-04-2022 10:15;1205.66;-51.935;1206.778;47;15164
18;677;01-04-2022 13:30;01-04-2022 10:30;1205.521;-38.947;1206.15;46;15319
18;677;01-04-2022 13:45;01-04-2022 10:45;1162.189;-50.743;1163.296;44;15331
18;677;01-04-2022 14:00;01-04-2022 11:00;1125.264;-41.346;1126.023;43;15334
18;677;01-04-2022 14:15;01-04-2022 11:15;1169.117;-14.259;1169.204;45;15330
18;677;01-04-2022 14:30;01-04-2022 11:30;1159.521;-15.122;1159.62;44;15297
18;677;01-04-2022 14:45;01-04-2022 11:45;993.096;-124.379;1000.854;38;15324
18;677;01-04-2022 15:00;01-04-2022 12:00;971.611;-125.599;979.695;37;15359
18;677;01-04-2022 15:15;01-04-2022 12:15;1028.238;-95.551;1032.668;39;15391
18;677;01-04-2022 15:30;01-04-2022 12:30;994.59;-98.716;999.477;38;15411
18;677;01-04-2022 15:45;01-04-2022 12:45;889.9;-129.204;899.231;34;15432
18;677;01-04-2022 16:00;01-04-2022 13:00;912.303;-95.544;917.293;35;15467
18;677;01-04-2022 16:15;01-04-2022 13:15;985.391;-65.299;987.552;37;15484
18;677;01-04-2022 16:30;01-04-2022 13:30;971.683;-59.58;973.508;37;15472
18;677;01-04-2022 16:45;01-04-2022 13:45;994.147;-51.449;995.477;38;15468
18;677;01-04-2022 17:00;01-04-2022 14:00;1040.469;-41.591;1041.3;40;15420
18;677;01-04-2022 17:15;01-04-2022 14:15;1061.806;-28.357;1062.185;40;15384
18;677;01-04-2022 17:30;01-04-2022 14:30;1037.509;-24.04;1037.788;39;15382
18;677;01-04-2022 17:45;01-04-2022 14:45;1058.204;-8.282;1058.237;40;15374
18;677;01-04-2022 18:00;01-04-2022 15:00;1073.732;-8.103;1073.763;41;15381
18;677;01-04-2022 18:15;01-04-2022 15:15;1083.993;-5.025;1084.005;41;15359
18;677;01-04-2022 18:30;01-04-2022 15:30;1074.288;-3.76;1074.294;41;15493
18;677;01-04-2022 18:45;01-04-2022 15:45;974.19;-72.662;976.896;37;15460
18;677;01-04-2022 19:00;01-04-2022 16:00;827.11;-122.93;836.195;32;15485
18;677;01-04-2022 19:15;01-04-2022 16:15;1089.604;5.579;1089.618;41;15502
18;677;01-04-2022 19:30;01-04-2022 16:30;1127.177;7.103;1127.199;43;15419
18;677;01-04-2022 19:45;01-04-2022 16:45;1056.32;-37.189;1056.974;40;15392
18;677;01-04-2022 20:00;01-04-2022 17:00;1028.537;-52.382;1029.87;39;15481
18;677;01-04-2022 20:15;01-04-2022 17:15;1019.169;-60.453;1020.961;39;15470
18;677;01-04-2022 20:30;01-04-2022 17:30;967.049;-90.01;971.229;37;15470
18;677;01-04-2022 20:45;01-04-2022 17:45;720.494;-164.385;739.009;29;15483
18;677;01-04-2022 21:00;01-04-2022 18:00;645.047;-178.359;669.251;27;15420
18;677;01-04-2022 21:15;01-04-2022 18:15;656.66;-183.46;681.806;27;15391
18;677;01-04-2022 21:30;01-04-2022 18:30;651.518;-180.575;676.079;27;15225
18;677;01-04-2022 21:45;01-04-2022 18:45;624.361;-192.28;653.298;26;15222
18;677;01-04-2022 22:00;01-04-2022 19:00;587.765;-199.387;620.663;25;15208
18;677;01-04-2022 22:15;01-04-2022 19:15;597.522;-198.385;629.595;26;15177
18;677;01-04-2022 22:30;01-04-2022 19:30;637.409;-200.872;668.311;27;15158
18;677;01-04-2022 22:45;01-04-2022 19:45;658.275;-199.278;687.777;28;15208
18;677;01-04-2022 23:00;01-04-2022 20:00;655.331;-200.311;685.262;28;15183
18;677;01-04-2022 23:15;01-04-2022 20:15;703.378;-193.317;729.46;30;15183
18;677;01-04-2022 23:30;01-04-2022 20:30;693.704;-206.686;723.84;30;15222
18;677;01-04-2022 23:45;01-04-2022 20:45;702.305;-214.305;734.274;30;15246
18;677;02-04-2022 0:00;01-04-2022 21:00;705.677;-219.03;738.887;30;15287
18;677;02-04-2022 0:15;01-04-2022 21:15;705.899;-218.149;738.838;30;15325
18;677;02-04-2022 0:30;01-04-2022 21:30;689.667;-215.972;722.692;30;15304
18;677;02-04-2022 0:45;01-04-2022 21:45;696.28;-212.736;728.054;30;15311
18;677;02-04-2022 1:00;01-04-2022 22:00;696.656;-218.962;730.256;30;15311
18;677;02-04-2022 1:15;01-04-2022 22:15;684.618;-216.082;717.909;29;15224
18;677;02-04-2022 1:30;01-04-2022 22:30;667.763;-218.494;702.6;29;15188
18;677;02-04-2022 1:45;01-04-2022 22:45;658.219;-221.128;694.371;29;15197
18;677;02-04-2022 2:00;01-04-2022 23:00;648.859;-214.716;683.463;28;15216
18;677;02-04-2022 2:15;01-04-2022 23:15;617.089;-213.337;652.926;27;15253
18;677;02-04-2022 2:30;01-04-2022 23:30;585.893;-220.637;626.06;26;15265
18;677;02-04-2022 2:45;01-04-2022 23:45;579.612;-217.741;619.162;25;15289
18;677;02-04-2022 3:00;02-04-2022 0:00;540.471;-217.074;582.435;23;15332
18;677;02-04-2022 3:15;02-04-2022 0:15;518.091;-224.34;564.577;23;15358
18;677;02-04-2022 3:30;02-04-2022 0:30;516.934;-219.926;561.772;23;15369
18;677;02-04-2022 3:45;02-04-2022 0:45;496.579;-222.975;544.342;22;15405
18;677;02-04-2022 4:00;02-04-2022 1:00;476.078;-226.954;527.408;21;15427
18;677;02-04-2022 4:15;02-04-2022 1:15;474.731;-221.656;523.928;21;15464
18;677;02-04-2022 4:30;02-04-2022 1:30;469.34;-219.12;517.971;21;15443
18;677;02-04-2022 4:45;02-04-2022 1:45;445.959;-228.856;501.252;20;15389
18;677;02-04-2022 5:00;02-04-2022 2:00;440.864;-225.781;495.316;20;15402
18;677;02-04-2022 5:15;02-04-2022 2:15;429.164;-227.031;485.515;19;15322
18;677;02-04-2022 5:30;02-04-2022 2:30;418.774;-229.591;477.581;19;15244
18;677;02-04-2022 5:45;02-04-2022 2:45;415.726;-233.765;476.943;19;15251
18;677;02-04-2022 6:00;02-04-2022 3:00;415.137;-233.661;476.378;19;15281
18;677;02-04-2022 6:15;02-04-2022 3:15;412.754;-234.802;474.866;19;15315
18;677;02-04-2022 6:30;02-04-2022 3:30;409.505;-233.917;471.605;19;15324
18;677;02-04-2022 6:45;02-04-2022 3:45;402.015;-238.054;467.211;19;15337
18;677;02-04-2022 7:00;02-04-2022 4:00;399.451;-238.044;465.001;18;15337
18;677;02-04-2022 7:15;02-04-2022 4:15;392.057;-238.764;459.039;18;15334
18;677;02-04-2022 7:30;02-04-2022 4:30;390.559;-235.82;456.232;18;15355
18;677;02-04-2022 7:45;02-04-2022 4:45;379.178;-242.336;450.003;18;15351
18;677;02-04-2022 8:00;02-04-2022 5:00;386.329;-236.418;452.928;18;15347
18;677;02-04-2022 8:15;02-04-2022 5:15;388.028;-234.876;453.578;18;15344
18;677;02-04-2022 8:30;02-04-2022 5:30;377.674;-238.416;446.632;18;15358
18;677;02-04-2022 8:45;02-04-2022 5:45;378.776;-240.502;448.679;18;15326
18;677;02-04-2022 9:00;02-04-2022 6:00;375.729;-248.948;450.719;18;15292
18;677;02-04-2022 9:15;02-04-2022 6:15;379.082;-252.949;455.726;18;15263
18;677;02-04-2022 9:30;02-04-2022 6:30;405.11;-249.598;475.829;19;15228
18;677;02-04-2022 9:45;02-04-2022 6:45;414.566;-242.972;480.521;19;15214
18;677;02-04-2022 10:00;02-04-2022 7:00;428.097;-239.285;490.433;20;15182
18;677;02-04-2022 10:15;02-04-2022 7:15;441.552;-244.282;504.62;20;15341
18;677;02-04-2022 10:30;02-04-2022 7:30;483.216;-242.774;540.775;21;15341
18;677;02-04-2022 10:45;02-04-2022 7:45;515.414;-233.846;565.982;22;15326
18;677;02-04-2022 11:00;02-04-2022 8:00;513.828;-222.772;560.041;22;15285
18;677;02-04-2022 11:15;02-04-2022 8:15;520.543;-223.487;566.49;22;15251
18;677;02-04-2022 11:30;02-04-2022 8:30;537.551;-233.093;585.912;23;15302
18;677;02-04-2022 11:45;02-04-2022 8:45;548.218;-237.806;597.574;24;15284
18;677;02-04-2022 12:00;02-04-2022 9:00;612.036;-221.288;650.813;26;15232
18;677;02-04-2022 12:15;02-04-2022 9:15;653.854;-217.316;689.022;28;15166
18;677;02-04-2022 12:30;02-04-2022 9:30;640.931;-217.959;676.978;27;15251
18;677;02-04-2022 12:45;02-04-2022 9:45;641.701;-211.263;675.583;27;15201
18;677;02-04-2022 13:00;02-04-2022 10:00;657.084;-207.202;688.979;28;15207
18;677;02-04-2022 13:15;02-04-2022 10:15;651.256;-217.173;686.512;27;15273
18;677;02-04-2022 13:30;02-04-2022 10:30;672.947;-204.052;703.203;28;15234
18;677;02-04-2022 13:45;02-04-2022 10:45;671.461;-211.806;704.075;28;15249
18;677;02-04-2022 14:00;02-04-2022 11:00;690.825;-197.783;718.58;28;15245
18;677;02-04-2022 14:15;02-04-2022 11:15;698.423;-191.533;724.21;29;15208
18;677;02-04-2022 14:30;02-04-2022 11:30;696.807;-189.395;722.088;29;15166
18;677;02-04-2022 14:45;02-04-2022 11:45;684.383;-198.374;712.554;28;15251
18;677;02-04-2022 15:00;02-04-2022 12:00;681.328;-190.76;707.529;28;15334
18;677;02-04-2022 15:15;02-04-2022 12:15;682.072;-186.238;707.041;28;15329
18;677;02-04-2022 15:30;02-04-2022 12:30;691.457;-200.702;719.996;29;15290
18;677;02-04-2022 15:45;02-04-2022 12:45;689.755;-196.313;717.147;29;15235
18;677;02-04-2022 16:00;02-04-2022 13:00;662.033;-192.105;689.342;28;15174
18;677;02-04-2022 16:15;02-04-2022 13:15;662.011;-197.192;690.756;28;15149
18;677;02-04-2022 16:30;02-04-2022 13:30;687.641;-194.662;714.663;29;15249
18;677;02-04-2022 16:45;02-04-2022 13:45;686.783;-193.918;713.635;28;15351
18;677;02-04-2022 17:00;02-04-2022 14:00;692.741;-195.275;719.738;29;15355
18;677;02-04-2022 17:15;02-04-2022 14:15;686.575;-197.766;714.49;28;15374
18;677;02-04-2022 17:30;02-04-2022 14:30;688.267;-200.541;716.888;28;15429
18;677;02-04-2022 17:45;02-04-2022 14:45;681.225;-198.323;709.507;28;15411
18;677;02-04-2022 18:00;02-04-2022 15:00;663.452;-202.706;693.727;28;15412
18;677;02-04-2022 18:15;02-04-2022 15:15;698.404;-187.634;723.17;29;15448
18;677;02-04-2022 18:30;02-04-2022 15:30;698.345;-179.14;720.955;29;15476
18;677;02-04-2022 18:45;02-04-2022 15:45;691.166;-182.579;714.875;28;15475
18;677;02-04-2022 19:00;02-04-2022 16:00;671.597;-192.274;698.578;28;15443
18;677;02-04-2022 19:15;02-04-2022 16:15;670.197;-193.21;697.491;28;15453
18;677;02-04-2022 19:30;02-04-2022 16:30;645.586;-205.643;677.548;27;15326
18;677;02-04-2022 19:45;02-04-2022 16:45;684.532;-180.079;707.822;28;15332
18;677;02-04-2022 20:00;02-04-2022 17:00;673.247;-189.076;699.293;28;15392
18;677;02-04-2022 20:15;02-04-2022 17:15;650.997;-191.734;678.645;27;15396
18;677;02-04-2022 20:30;02-04-2022 17:30;631.358;-197.402;661.499;27;15388
18;677;02-04-2022 20:45;02-04-2022 17:45;621.303;-195.54;651.347;26;15396
