empresa_id,cudn,caracter_item_ini,caracter_item_fin,desc_item,valor_opcion,desc_opcion
18,A1BA1,1,1,ítem,A,Empalme
18,A1BA1,2,2,NÚMERO DE FASES,1,Monofásico
18,A1BA1,3,3,TENSIÓN,B,BT
18,A1BA1,4,4,CARACTERÍSTICA,A,Aéreo
18,A1BA1,5,5,CAPACIDAD EN KVA,1,Hasta 6 kVA
18,A1BA2,1,1,ítem,A,Empalme
18,A1BA2,2,2,NÚMERO DE FASES,1,Monofásico
18,A1BA2,3,3,TENSIÓN,B,BT
18,A1BA2,4,4,CARACTERÍSTICA,A,Aéreo
18,A1BA2,5,5,CAPACIDAD EN KVA,2,Mayor a 6 y hasta 10
18,A1BA3,1,1,ítem,A,Empalme
18,A1BA3,2,2,NÚMERO DE FASES,1,Monofásico
18,A1BA3,3,3,TENSIÓN,B,BT
18,A1BA3,4,4,CARACTERÍSTICA,A,Aéreo
18,A1BA3,5,5,CAPACIDAD EN KVA,3,Mayor a 10 y hasta 5
18,A1BA4,1,1,ítem,A,Empalme
18,A1BA4,2,2,NÚMERO DE FASES,1,Monofásico
18,A1BA4,3,3,TENSIÓN,B,BT
18,A1BA4,4,4,CARACTERÍSTICA,A,Aéreo
18,A1BA4,5,5,CAPACIDAD EN KVA,4,Mayor a 50 y hasta 1
18,A1BS1,1,1,ítem,A,Empalme
18,A1BS1,2,2,NÚMERO DE FASES,1,Monofásico
18,A1BS1,3,3,TENSIÓN,B,BT
18,A1BS1,4,4,CARACTERÍSTICA,S,Subterráneo
18,A1BS1,5,5,CAPACIDAD EN KVA,1,Hasta 6 kVA
18,A1BS2,1,1,ítem,A,Empalme
18,A1BS2,2,2,NÚMERO DE FASES,1,Monofásico
18,A1BS2,3,3,TENSIÓN,B,BT
18,A1BS2,4,4,CARACTERÍSTICA,S,Subterráneo
18,A1BS2,5,5,CAPACIDAD EN KVA,2,Mayor a 6 y hasta 10
18,A1BS3,1,1,ítem,A,Empalme
18,A1BS3,2,2,NÚMERO DE FASES,1,Monofásico
18,A1BS3,3,3,TENSIÓN,B,BT
18,A1BS3,4,4,CARACTERÍSTICA,S,Subterráneo
18,A1BS3,5,5,CAPACIDAD EN KVA,3,Mayor a 10 y hasta 5
18,A2BA4,1,1,ítem,A,Empalme
18,A2BA4,2,2,NÚMERO DE FASES,2,Bifásico
18,A2BA4,3,3,TENSIÓN,B,BT
18,A2BA4,4,4,CARACTERÍSTICA,A,Aéreo
18,A2BA4,5,5,CAPACIDAD EN KVA,4,Mayor a 50 y hasta 1
