empresa_id,equipo_id,nom_equipo,propiedad,cudn,tipo_equipo,alimentador_id,nodo_id,tramo_id,estado,tipo_inst,fases_id,ubicación_prot,tension_nom,cap_diseno,Coci_ikss,Coci_iasym,Coci_Ipeak,Coci_Ik,telecomandado,tipo_operacion,datum,zona,x,y,long,lat
18,678,Interrupt.General MT ubicado en soporte placa -219,Inst. de prop. terce,QA3AA30N01N0000,Desconectadores Fusibles,678,38721973,,Normalment,Aéreo,RST,,,0.000,,,,,,No Aplica,PSAD56,19,186747.355,5702474.576,-72.60782650,-38.77347740
18,416736,DF 8kAR 3F¸ Placa 720448,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,678,38761546,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,187159.378,5702932.720,-72.60288550,-38.76950330
18,416753,SC 300A 3F¸ Placa  14748,Inst. de distribució,QC3AB1BW01A0300,Desconectadores cuchillo,678,38262674,,Normalment,Aéreo,RST,,,300.000,,,,,,Motorizado,PSAD56,19,187240.851,5703131.796,-72.60185930,-38.76774180
18,416768,DF 8kAR 3F¸ Placa 165786,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,678,40131705,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,186653.311,5702048.835,-72.60910010,-38.77727290
18,416920,DF 8kAR 2F¸ Placa 255225,Inst. de distribució,QC2AA10S01A0010,Desconectadores Fusibles,678,40062626,,Normalment,Aéreo,RS,,,10.000,5.300,8.000,,,,No Aplica,PSAD56,19,186097.655,5694628.999,-72.61886290,-38.84380420
18,416950,DF 8kAR 2F¸ Placa 165276,Inst. de distribució,QC2AA10S01A0010,Desconectadores Fusibles,678,37857617,,Normalment,Aéreo,RS,,,10.000,5.300,8.000,,,,No Aplica,PSAD56,19,182038.375,5699727.526,-72.66318890,-38.79649670
18,417228,DF 8kAR 2ø ubicado en soporte placa 253514,Inst. de distribució,QC2AA10S01A0010,Desconectadores Fusibles,678,39586122,,Normalment,Aéreo,RS,,,10.000,5.300,8.000,,,,No Aplica,PSAD56,19,181295.158,5697129.199,-72.67293070,-38.81959440
18,417265,DF 8kAR 2ø ubicado en soporte placa 166011,Inst. de distribució,QC2AA10S01A0010,Desconectadores Fusibles,678,39563506,,Normalment,Aéreo,RS,,,10.000,5.300,8.000,,,,No Aplica,PSAD56,19,185333.073,5698540.790,-72.62586830,-38.80835160
18,417952,DF 8kAR 3F¸ Placa 225061,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,678,40111284,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,185780.373,5695969.520,-72.62189970,-38.83163530
18,418085,DF 8kAR 3F¸ Placa 165575,Inst. de distribució,QC3AA10W01A0100,Desconectadores Fusibles,678,39627691,,Normalment,Aéreo,RST,,,100.000,5.300,8.000,,,,No Aplica,PSAD56,19,184459.431,5697675.937,-72.63630570,-38.81581690
