empresa_id,cudn,descripcion
18,A1BA1,Empalme Monofásico BT Aéreo Hasta 6 kVA
18,A1BA2,Empalme Monofásico BT Aéreo Mayor a 6 y hasta 10 kVA
18,A1BA3,Empalme Monofásico BT Aéreo Mayor a 10 y hasta 50 kVA
18,A1BA4,Empalme Monofásico BT Aéreo Mayor a 50 y hasta 100 kVA
18,A1BS1,Empalme Monofásico BT Subterráneo Hasta 6 kVA
18,A1BS2,Empalme Monofásico BT Subterráneo Mayor a 6 y hasta 10 kVA
18,A1BS3,Empalme Monofásico BT Subterráneo Mayor a 10 y hasta 50 kVA
18,A2BA4,Empalme Bifásico BT Aéreo Mayor a 50 y hasta 100 kVA
18,A2CA3,Empalme Bifásico AT. clase 23 kV Aéreo Mayor a 10 y hasta 50 kVA
18,A3AA1,"Empalme Trifásico AT, clase 15 kV Aéreo Hasta 6 kVA"
18,A3AA2,"Empalme Trifásico AT, clase 15 kV Aéreo Mayor a 6 y hasta 10 kVA"
18,A3AA3,"Empalme Trifásico AT, clase 15 kV Aéreo Mayor a 10 y hasta 50 kVA"
18,A3AA4,"Empalme Trifásico AT, clase 15 kV Aéreo Mayor a 50 y hasta 100 kVA"
18,A3AA5,"Empalme Trifásico AT, clase 15 kV Aéreo Mayor a 100 y hasta 500 kVA"
18,A3AA6,Empalme Trifásico AT. clase 15 kV Aéreo Mayor a 500 y hasta 2.000 kVA
18,A3AA7,Empalme Trifásico AT. clase 15 kV Aéreo Mayor a 2.000 kVA
18,A3AS2,Empalme Trifásico AT. clase 15 kV Subterráneo Mayor a 6 y hasta 10 kVA
18,A3AS3,Empalme Trifásico AT. clase 15 kV Subterráneo Mayor a 10 y hasta 50 kVA
18,A3BA1,Empalme Trifásico BT Aéreo Hasta 6 kVA
18,A3BA2,Empalme Trifásico BT Aéreo Mayor a 6 y hasta 10 kVA
18,A3BA3,Empalme Trifásico BT Aéreo Mayor a 10 y hasta 50 kVA
18,A3BA4,Empalme Trifásico BT Aéreo Mayor a 50 y hasta 100 kVA
18,A3BA5,Empalme Trifásico BT Aéreo Mayor a 100 y hasta 500 kVA
18,A3BS1,Empalme Trifásico BT Subterráneo Hasta 6 kVA
18,A3BS2,Empalme Trifásico BT Subterráneo Mayor a 6 y hasta 10 kVA
18,A3BS3,Empalme Trifásico BT Subterráneo Mayor a 10 y hasta 50 kVA
18,A3BS4,Empalme Trifásico BT Subterráneo Mayor a 50 y hasta 100 kVA
18,A3BS5,Empalme Trifásico BT Subterráneo Mayor a 100 y hasta 500 kVA
18,A3CA5,"Empalme Trifásico AT, clase 23 kV Aéreo Mayor a 100 y hasta 500 kVA"
18,BAAC00288,Camara AT Albañilería - Ladrillos Calzada Hormigón de 28 dm3
18,BAAC00512,Camara AT Albañilería - Ladrillos Calzada Hormigón de 51 dm3
18,BAAC00720,Camara AT Albañilería - Ladrillos Calzada Hormigón de 72 dm3
18,BAAC00832,Camara AT Albañilería - Ladrillos Calzada Hormigón de 83 dm3
18,BAAC01000,Camara AT Albañilería - Ladrillos Calzada Hormigón de 100 dm3
18,BAAC01024,Camara AT Albañilería - Ladrillos Calzada Hormigón de 102 dm3
18,BAAC01200,Camara AT Albañilería - Ladrillos Calzada Hormigón de 120 dm3
18,BAAC01452,Camara AT Albañilería - Ladrillos Calzada Hormigón de 145 dm3
18,BAAC01500,Camara AT Albañilería - Ladrillos Calzada Hormigón de 150 dm3
18,BAAC01728,Camara AT Albañilería - Ladrillos Calzada Hormigón de 172 dm3
18,BAAC01778,Camara AT Albañilería - Ladrillos Calzada Hormigón de 177 dm3
18,BAAC01848,Camara AT Albañilería - Ladrillos Calzada Hormigón de 184 dm3
18,BAAC02016,Camara AT Albañilería - Ladrillos Calzada Hormigón de 201 dm3
18,BAAC02352,Camara AT Albañilería - Ladrillos Calzada Hormigón de 235 dm3
18,BAAC02560,Camara AT Albañilería - Ladrillos Calzada Hormigón de 256 dm3
18,BAAC02744,Camara AT Albañilería - Ladrillos Calzada Hormigón de 274 dm3
18,BAAC03375,Camara AT Albañilería - Ladrillos Calzada Hormigón de 337 dm3
18,BAAC03528,Camara AT Albañilería - Ladrillos Calzada Hormigón de 352 dm3
18,BAAC03920,Camara AT Albañilería - Ladrillos Calzada Hormigón de 392 dm3
18,BAAC04096,Camara AT Albañilería - Ladrillos Calzada Hormigón de 409 dm3
18,BAAC04140,Camara AT Albañilería - Ladrillos Calzada Hormigón de 414 dm3
18,BAAC04608,Camara AT Albañilería - Ladrillos Calzada Hormigón de 460 dm3
18,BAAC05040,Camara AT Albañilería - Ladrillos Calzada Hormigón de 504 dm3
18,BAAC05054,Camara AT Albañilería - Ladrillos Calzada Hormigón de 505 dm3
18,BAAC05200,Camara AT Albañilería - Ladrillos Calzada Hormigón de 520 dm3
18,BAAC05250,Camara AT Albañilería - Ladrillos Calzada Hormigón de 525 dm3
18,BAAC05600,Camara AT Albañilería - Ladrillos Calzada Hormigón de 560 dm3
18,BAAC06000,Camara AT Albañilería - Ladrillos Calzada Hormigón de 600 dm3
18,BAAC07200,Camara AT Albañilería - Ladrillos Calzada Hormigón de 720 dm3
18,BAAC08000,Camara AT Albañilería - Ladrillos Calzada Hormigón de 800 dm3
18,BAAC08208,Camara AT Albañilería - Ladrillos Calzada Hormigón de 820 dm3
18,BAAC09520,Camara AT Albañilería - Ladrillos Calzada Hormigón de 952 dm3
18,BAAC10000,Camara AT Albañilería - Ladrillos Calzada Hormigón de 1.000 dm3
18,BAAC10080,Camara AT Albañilería - Ladrillos Calzada Hormigón de 1.008 dm3
18,BAAC10920,Camara AT Albañilería - Ladrillos Calzada Hormigón de 1.092 dm3
18,BAAC11016,Camara AT Albañilería - Ladrillos Calzada Hormigón de 1.101 dm3
18,BAAC11500,Camara AT Albañilería - Ladrillos Calzada Hormigón de 1.150 dm3
18,BAAC15200,Camara AT Albañilería - Ladrillos Calzada Hormigón de 1.520 dm3
18,BAAC35100,Camara AT Albañilería - Ladrillos Calzada Hormigón de 3.510 dm3
18,BAAC49140,Camara AT Albañilería - Ladrillos Calzada Hormigón de 4.914 dm3
18,BAAC63180,Camara AT Albañilería - Ladrillos Calzada Hormigón de 6.318 dm3
18,BAAD00288,Camara AT Albañilería - Ladrillos Calzada Tierra de 28 dm3
18,BAAD00832,Camara AT Albañilería - Ladrillos Calzada Tierra de 83 dm3
18,BAAD01000,Camara AT Albañilería - Ladrillos Calzada Tierra de 100 dm3
18,BAAD01500,Camara AT Albañilería - Ladrillos Calzada Tierra de 150 dm3
18,BAAD01778,Camara AT Albañilería - Ladrillos Calzada Tierra de 177 dm3
18,BAAD02000,Camara AT Albañilería - Ladrillos Calzada Tierra de 200 dm3
18,BAAD04050,Camara AT Albañilería - Ladrillos Calzada Tierra de 405 dm3
18,BAAD07425,Camara AT Albañilería - Ladrillos Calzada Tierra de 742 dm3
18,BAAD08000,Camara AT Albañilería - Ladrillos Calzada Tierra de 800 dm3
18,BAAD09000,Camara AT Albañilería - Ladrillos Calzada Tierra de 900 dm3
18,BAAJ00832,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 83 dm3
18,BAAJ01000,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 100 dm3
18,BAAJ01778,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 177 dm3
18,BAAJ02156,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 215 dm3
18,BAAJ02275,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 227 dm3
18,BAAJ02744,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 274 dm3
18,BAAJ02940,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 294 dm3
18,BAAJ03060,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 306 dm3
18,BAAJ03432,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 343 dm3
18,BAAJ04440,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 444 dm3
18,BAAJ04480,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 448 dm3
18,BAAJ05488,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 548 dm3
18,BAAJ06120,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 612 dm3
18,BAAJ06400,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 640 dm3
18,BAAJ06800,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 680 dm3
18,BAAJ06930,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 693 dm3
18,BAAJ07168,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 716 dm3
18,BAAJ07480,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 748 dm3
18,BAAJ07500,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 750 dm3
18,BAAJ11500,Camara AT Albañilería - Ladrillos Jardines o áreas verdes de 1.150 dm3
18,BAAV00000,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 0 dm3
